num,timestamp,hand_w,hand_x,hand_y,hand_z,fore_w,fore_x,fore_y,fore_z,up_w,up_x,up_y,up_z,thumb0,thumb1,thindex,index0,index1,index2,inmid,middle0,middle1,middle2,midring,ring0,ring1,ring2,ringlittle,little0,little1,little2,thumbcmc,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
1,1702448881.7292655,0.44250866770744324,0.342654287815094,-0.6350151896476746,-0.5324752330780029,0.38555851578712463,0.1874997466802597,-0.6905508041381836,-0.5825186967849731,0.3060833215713501,0.17461702227592468,-0.6329180598258972,-0.6893740892410278,0.8999999761581421,2.0,0.0,0.0,0.0,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,1.4399999380111694,0.0,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,2,0,0,0
2,1702448881.7466888,0.44256699085235596,0.34259116649627686,-0.6350113153457642,-0.5324720144271851,0.3854854702949524,0.18737180531024933,-0.6905902624130249,-0.5825615525245667,0.3061600923538208,0.17468702793121338,-0.6328895092010498,-0.6893484592437744,0.8999999761581421,2.0,0.0,0.0,0.0,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,1.4399999380111694,0.0,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,2,0,0,0
3,1702448881.7621207,0.44269391894340515,0.3425949215888977,-0.6350182890892029,-0.532355785369873,0.3855035603046417,0.1873195767402649,-0.6906226873397827,-0.5825278759002686,0.30615681409835815,0.17474620044231415,-0.6328827738761902,-0.689341127872467,0.8999999761581421,2.0,0.0,0.0,0.0,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,1.4399999380111694,0.0,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,2,0,0,0
4,1702448881.7775526,0.44281432032585144,0.34265467524528503,-0.6349548697471619,-0.5322927236557007,0.3855692446231842,0.18732182681560516,-0.6906309723854065,-0.5824738144874573,0.30615681409835815,0.17474620044231415,-0.6328827738761902,-0.689341127872467,0.8999999761581421,2.0,0.0,0.0,0.0,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,1.4399999380111694,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0
5,1702448881.7929847,0.4430551528930664,0.3427741825580597,-0.6348280310630798,-0.5321666598320007,0.3857462704181671,0.18744094669818878,-0.6905590295791626,-0.5824036002159119,0.30627599358558655,0.17480559647083282,-0.6328157782554626,-0.6893346309661865,0.8999999761581421,2.0,0.0,0.0,0.0,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,0.0,0.0,75.66000366210938,2.319999933242798,2.057138681411743,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0
6,1702448881.8084168,0.4431662857532501,0.3428877890110016,-0.6347513198852539,-0.5320925116539001,0.3858056366443634,0.18756221234798431,-0.6904950737953186,-0.5824010968208313,0.30634093284606934,0.1748688519001007,-0.6328238248825073,-0.6892823576927185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0
7,1702448881.823849,1.0,5.167815106688067e-05,0.0001627608435228467,8.532557694707066e-05,1.0,-3.7611203879350796e-05,0.00012890479410998523,0.00015126439393498003,1.0,-7.301699042727705e-06,0.00022215046919882298,-4.239456029608846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0
8,1702448881.8392813,1.0,2.0593139197444543e-05,1.2963842891622335e-05,0.0002269715623697266,1.0,0.00014054594794288278,-2.1069970898679458e-05,0.0001280738360946998,1.0,-0.0,3.7252419815558824e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0
9,1702448881.8547127,1.0,-1.0728696906880941e-05,-1.664438059378881e-05,8.378813799936324e-05,1.0,0.0001118168729590252,4.3413972889538854e-05,8.912269549909979e-05,1.0,-2.676214171515312e-05,-0.00012276908091735095,3.518118683132343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0
10,1702448881.870145,1.0,0.00012553077249322087,-3.255246701883152e-05,5.7475335779599845e-05,1.0,0.00012511355453170836,1.1422050192777533e-05,4.477920811041258e-05,1.0,-6.389791087713093e-05,-0.0001793030824046582,-0.00012499433069024235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0
